Elapsed_ms,Direction,SrcIP,DstIP,SrcPort,DstPort,DataLen,Data,RTT_ms,Status
5.001,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
5.001,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",3.459,0
7.003,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
7.003,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.000,0
8.996,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
8.996,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.992,0
11.141,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
11.141,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.143,0
13.067,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
13.067,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.924,0
15.065,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
15.065,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.997,0
16.936,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
16.936,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.869,0
19.085,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
19.085,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.148,0
21.003,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
21.003,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.917,0
23.021,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
23.021,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.017,0
25.002,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
25.002,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.979,0
27.254,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
27.254,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.248,0
29.182,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
29.182,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.928,0
31.328,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
31.328,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.146,0
33.483,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
33.483,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.153,0
35.635,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
35.635,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.152,0
37.633,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
37.633,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.997,0
39.730,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
39.730,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.096,0
41.671,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
41.671,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.940,0
43.655,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
43.655,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.983,0
45.616,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
45.616,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.960,0
47.557,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
47.557,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.941,0
49.533,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
49.533,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.974,0
51.513,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
51.513,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.980,0
53.497,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
53.497,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.984,0
55.477,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
55.477,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",1.977,0
57.576,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
57.576,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.099,0
59.607,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
59.607,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.031,0
61.784,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
61.784,R,169.254.199.11,0.0.0.0,8001,8000,60,"ITO APP_3.0.5_FW_1.09_IP_2.3.8(1.2.41)_PWR_1.7(9000)RET:OK",2.176,0
63.931,T,0.0.0.0,169.254.199.11,8000,8001,11,version.all,0.000,0
